"Draw Date","Numbers As Drawn","Numbers In Order","Jackpot","6 of 6","5 of 6","4 of 6","3 of 6"
"07-11-2020","2--17--16--15--42--5","2--5--15--16--17--42","$4.40 Million",0,26,810,13434
"07-08-2020","28--41--30--29--17--34","17--28--29--30--34--41","$4.30 Million",0,18,766,12366
"07-04-2020","32--17--30--25--40--8","8--17--25--30--32--40","$4.20 Million",0,16,754,12657
"07-01-2020","8--6--26--38--41--7","6--7--8--26--38--41","$4.10 Million",0,24,737,12676
"06-27-2020","33--15--2--42--16--28","2--15--16--28--33--42","$4.00 Million",0,14,723,12532
"06-24-2020","44--13--33--38--24--28","13--24--28--33--38--44","$3.90 Million",0,10,699,11909
"06-20-2020","3--40--31--5--21--10","3--5--10--21--31--40","$3.80 Million",0,15,790,12868
"06-17-2020","31--24--17--37--21--26","17--21--24--26--31--37","$3.70 Million",0,16,735,11397
"06-13-2020","12--15--17--36--31--3","3--12--15--17--31--36","$3.60 Million",0,20,673,11332
"06-10-2020","1--33--3--29--34--15","1--3--15--29--33--34","$3.50 Million",0,7,688,10394
"06-06-2020","13--17--20--21--41--2","2--13--17--20--21--41","$3.40 Million",0,11,651,10781
"06-03-2020","35--2--23--36--33--5","2--5--23--33--35--36","$3.30 Million",0,9,539,9705
"05-30-2020","43--15--5--3--34--39","3--5--15--34--39--43","$3.20 Million",0,10,642,10140
"05-27-2020","23--26--28--42--36--9","9--23--26--28--36--42","$3.10 Million",0,10,572,9445
"05-23-2020","24--37--33--44--8--3","3--8--24--33--37--44","$3.00 Million",0,13,685,10576
"05-20-2020","6--35--16--24--10--5","5--6--10--16--24--35","$2.90 Million",0,11,592,9751
"05-16-2020","26--31--9--7--8--5","5--7--8--9--26--31","$2.80 Million",0,15,658,10306
"05-13-2020","11--17--7--6--21--41","6--7--11--17--21--41","$2.70 Million",0,17,681,9924
"05-09-2020","5--23--34--19--17--11","5--11--17--19--23--34","$2.60 Million",0,14,626,9820
"05-06-2020","34--38--35--3--31--8","3--8--31--34--35--38","$2.50 Million",0,14,526,8152
"05-02-2020","4--6--24--31--39--44","4--6--24--31--39--44","$2.40 Million",0,9,550,8789
"04-29-2020","3--8--39--15--32--21","3--8--15--21--32--39","$2.30 Million",0,15,543,8126
"04-25-2020","15--39--3--2--18--20","2--3--15--18--20--39","$2.20 Million",0,10,463,7709
"04-22-2020","20--3--34--31--1--21","1--3--20--21--31--34","$2.10 Million",0,7,477,7464
"04-18-2020","6--16--12--20--24--3","3--6--12--16--20--24","$2.00 Million",0,15,601,8477
"04-15-2020","27--8--28--9--31--22","8--9--22--27--28--31","$1.90 Million",0,10,471,7232
"04-11-2020","23--6--22--24--35--3","3--6--22--23--24--35","$1.80 Million",0,13,484,7004
"04-08-2020","22--6--18--28--13--38","6--13--18--22--28--38","$1.70 Million",0,15,397,6350
"04-04-2020","3--43--13--24--25--35","3--13--24--25--35--43","$1.60 Million",0,13,425,6624
"04-01-2020","30--29--4--2--19--27","2--4--19--27--29--30","$1.50 Million",0,7,413,6573
"03-28-2020","8--39--27--11--21--5","5--8--11--21--27--39","$1.40 Million",0,17,525,7495
"03-25-2020","31--39--44--9--34--27","9--27--31--34--39--44","$1.30 Million",0,1,350,5964
"03-21-2020","14--20--25--3--22--42","3--14--20--22--25--42","$1.20 Million",0,6,427,6633
"03-18-2020","44--36--5--13--24--2","2--5--13--24--36--44","$1.10 Million",0,17,456,6959
"03-14-2020","5--3--37--11--14--41","3--5--11--14--37--41","$1.00 Million",0,9,524,7720
"03-11-2020","38--23--31--26--16--11","11--16--23--26--31--38","$3.00 Million",1,17,710,10716
"03-07-2020","16--12--44--3--29--32","3--12--16--29--32--44","$2.90 Million",0,6,706,10675
"03-04-2020","40--41--10--25--32--4","4--10--25--32--40--41","$2.80 Million",0,14,613,10063
"02-29-2020","16--31--44--25--40--42","16--25--31--40--42--44","$2.70 Million",0,14,606,10635
"02-26-2020","10--14--36--39--30--29","10--14--29--30--36--39","$2.60 Million",0,5,553,9316
"02-22-2020","10--3--7--32--29--26","3--7--10--26--29--32","$2.50 Million",0,12,646,10617
"02-19-2020","35--18--30--13--36--2","2--13--18--30--35--36","$2.40 Million",0,10,601,9420
"02-15-2020","37--7--22--29--35--23","7--22--23--29--35--37","$2.30 Million",0,8,668,10754
"02-12-2020","39--18--22--27--11--38","11--18--22--27--38--39","$2.20 Million",0,9,535,9149
"02-08-2020","39--8--6--4--11--36","4--6--8--11--36--39","$2.10 Million",0,14,609,9639
"02-05-2020","31--20--12--35--25--9","9--12--20--25--31--35","$2.00 Million",0,9,514,8841
"02-01-2020","15--34--40--8--26--21","8--15--21--26--34--40","$1.90 Million",0,15,583,9469
"01-29-2020","35--1--32--13--31--38","1--13--31--32--35--38","$1.80 Million",0,11,477,7970
"01-25-2020","36--26--44--39--3--24","3--24--26--36--39--44","$1.70 Million",0,14,524,8532
"01-22-2020","27--5--33--11--21--13","5--11--13--21--27--33","$1.60 Million",0,18,587,8807
