Draw Date	Numbers As Drawn	Numbers In Order	Jackpot	6 of 6	5 of 6	4 of 6	3 of 6
17-Dec-03	1:3:15:21:23:41	1:3:15:21:23:41	$1.1 Million	0	7	743	12491
20-Dec-03	7:14:16:19:29:40	7:14:16:19:29:40	$1.2 Million	0	28	879	14087
24-Dec-03	5:8:16:17:20:30	5:8:16:17:20:30	$1.3 Million	0	27	1085	16644
27-Dec-03	12:16:23:34:38:43	12:16:23:34:38:43	$1.4 Million	0	20	838	13943
31-Dec-03	4:13:19:29:40:43	4:13:19:29:40:43	$1.5 Million	1	29	1248	18317
3-Jan-04	5:15:20:24:29:39	5:15:20:24:29:39	$1.0 Million	0	16	829	13289
7-Jan-04	4:9:13:14:15:31	4:9:13:14:15:31	$1.1 Million	0	16	801	12551
10-Jan-04	2:3:19:30:31:42	2:3:19:30:31:42	$1.2 Million	0	23	837	14209
14-Jan-04	14:19:25:26:33:41	14:19:25:26:33:41	$1.3 Million	0	26	752	12167
17-Jan-04	15:21:24:28:34:41	15:21:24:28:34:41	$1.4 Million	0	18	847	13574
21-Jan-04	3:23:31:36:43:44	3:23:31:36:43:44	$1.5 Million	0	15	808	12294
24-Jan-04	16:27:33:34:37:40	16:27:33:34:37:40	$1.6 Million	1	14	826	13776
28-Jan-04	7:15:19:23:33:42	7:15:19:23:33:42	$1.0 Million	0	18	666	11092
31-Jan-04	9:10:20:25:27:34	9:10:20:25:27:34	$1.1 Million	0	20	857	14686
4-Feb-04	4:7:18:23:41:44	4:7:18:23:41:44	$1.2 Million	0	17	806	12527
7-Feb-04	2:32:35:37:42:44	2:32:35:37:42:44	$1.3 Million	0	20	800	12258
11-Feb-04	4:5:10:12:21:29	4:5:10:12:21:29	$1.4 Million	0	34	960	14413
14-Feb-04	1:22:23:35:38:41	1:22:23:35:38:41	$1.5 Million	0	25	779	13273
18-Feb-04	13:21:27:33:39:43	13:21:27:33:39:43	$1.6 Million	0	18	868	12597
21-Feb-04	9:12:23:30:33:43	9:12:23:30:33:43	$1.7 Million	0	18	905	14429
25-Feb-04	7:13:24:30:36:39	7:13:24:30:36:39	$1.8 Million	0	25	806	12668
28-Feb-04	11:17:23:25:40:43	11:17:23:25:40:43	$1.9 Million	0	21	863	14411
3-Mar-04	7:8:17:19:30:39	7:8:17:19:30:39	$2.0 Million	0	20	888	14229
6-Mar-04	11:12:25:27:28:32	11:12:25:27:28:32	$2.1 Million	0	22	985	15428
10-Mar-04	7:9:10:11:25:29	7:9:10:11:25:29	$2.2 Million	0	25	1139	16041
13-Mar-04	3:14:16:28:42:44	3:14:16:28:42:44	$2.4 Million	0	20	1005	16030
17-Mar-04	6:8:24:25:41:43	6:8:24:25:41:43	$2.5 Million	0	26	841	13801
